Graph,Freq,Freq_Host,Layer,Metric,Energy_B,Energy_G,Energy_L,Power_B,Power_G,Power_L,Time_B,Time_G,Time_L,Min_Time,Min_Time_Component,Min_Energy,Min_Energy_Component
InceptionV4,max,max,12,task,336555.88,217709.61,492081.04,7575.92,3629.04,3712.14,44.42,59.99,132.56,44.42,B,217709.61,G
InceptionV4,max,max,13,task,339196.93,218294.22,505177.87,7680.88,3629.61,3681.56,44.16,60.14,137.22,44.16,B,218294.22,G
InceptionV4,max,max,14,task,335845.08,225562.82,505245.61,7540.69,3597.27,3674.92,44.54,62.70,137.48,44.54,B,225562.82,G
InceptionV4,max,max,15,task,340890.36,221235.91,508337.24,7571.84,3618.87,3690.59,45.02,61.13,137.74,45.02,B,221235.91,G
InceptionV4,max,max,16,task,340437.63,217290.71,494609.25,7663.77,3591.92,3708.11,44.42,60.49,133.39,44.42,B,217290.71,G
InceptionV4,max,max,17,task,335604.67,217116.92,482303.21,7547.61,3586.37,3750.30,44.47,60.54,128.60,44.47,B,217116.92,G
InceptionV4,max,max,18,task,191378.17,150496.11,272269.88,7531.16,3610.62,3823.07,25.41,41.68,71.22,25.41,B,150496.11,G
InceptionV4,max,max,19,task,125375.27,98306.13,194585.83,6687.86,3567.71,3598.49,18.75,27.55,54.07,18.75,B,98306.13,G
InceptionV4,max,max,20,task,125925.05,97539.77,198178.65,6663.79,3532.36,3654.94,18.90,27.61,54.22,18.90,B,97539.77,G
InceptionV4,max,max,21,task,127000.61,98583.28,203978.04,6668.62,3521.88,3660.81,19.04,27.99,55.72,19.04,B,98583.28,G
InceptionV4,max,max,22,out,5852.15,7253.97,5645.64,3545.00,3212.42,2727.14,1.65,2.26,2.07,1.65,B,5645.64,L
InceptionV4,max,max,22,task,4605.92,4683.36,6570.86,2780.51,2484.94,2698.40,1.66,1.88,2.44,1.66,B,4605.92,B
