Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Google,B,max,max,0,in,11.8335,3441.61383143001
Google,B,max,max,0,task,18.165,6398.62475345168
Google,B,max,max,1,task,20.4341,5989.54973646263
Google,B,max,max,2,task,9.5335,5671.51662440124
Google,B,max,max,3,task,17.9176,6551.68457664131
Google,B,max,max,4,task,6.4855,4970.50689506572
Google,B,max,max,5,task,7.1512,5401.51147098516
Google,B,max,max,6,task,8.1144,5041.47417840376
Google,B,max,max,7,task,7.6863,5404.56662334082
Google,B,max,max,8,task,10.5809,5779.98901098901
Google,B,max,max,9,task,5.6871,4111.2264957265
Google,B,max,max,10,task,8.2192,4814.79166666667
Google,B,max,max,10,out,1.75237,
Google,G,max,max,0,in,12.081,3035.87688536953
Google,G,max,max,0,task,29.2554,3334.94860318709
Google,G,max,max,1,task,23.8972,3283.6351024633
Google,G,max,max,2,task,15.304,3210.34673659674
Google,G,max,max,3,task,33.0317,3234.31947818264
Google,G,max,max,4,task,13.9578,3199.84865134865
Google,G,max,max,5,task,16.4908,3207.10387902696
Google,G,max,max,6,task,17.0183,3180.79625246548
Google,G,max,max,7,task,19.0653,3165.23682768844
Google,G,max,max,8,task,27.2201,3159.33939137785
Google,G,max,max,9,task,11.4492,3071.10821649615
Google,G,max,max,10,task,16.9076,3132.75301797248
Google,G,max,max,10,out,2.25135,
Google,L,max,max,0,in,29.6688,2791.57434124375
Google,L,max,max,0,task,43.7099,3589.49414429656
Google,L,max,max,1,task,63.1409,3405.65001212847
Google,L,max,max,2,task,22.8088,3423.66682619793
Google,L,max,max,3,task,46.9183,3596.09403586609
Google,L,max,max,4,task,15.1535,3468.01864801865
Google,L,max,max,5,task,16.9814,3465.75391329892
Google,L,max,max,6,task,22.5513,3406.26510492173
Google,L,max,max,7,task,19.5494,3545.11998258152
Google,L,max,max,8,task,28.8377,3643.18993627732
Google,L,max,max,9,task,11.1306,3318.81366649224
Google,L,max,max,10,task,16.4421,3427.85944686985
Google,L,max,max,10,out,2.44371,
InceptionV3,B,max,max,0,in,20.5715,3501.40856426183
InceptionV3,B,max,max,0,task,5.436,5466.32051282051
InceptionV3,B,max,max,1,task,14.7687,5346.87412587413
InceptionV3,B,max,max,2,task,26.3286,6239.60327761334
InceptionV3,B,max,max,3,task,3.0069,3581.66666666667
InceptionV3,B,max,max,4,task,22.8175,6821.1830693816
