graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
InceptionV4,GGGBGBGGGGBBBBBBBBBBBBB,BB,"('{{max}}',)",21.4714,728.8746,0.197972,750.346,3799.759867583397,6421.555062968741,81.58616402083015,4680.508377899316,0.7522460605052204,4762.846787980651,0.2099584648667607,502.687
InceptionV4,GGGGGBGGGGBBBBBBBBBBBBB,BB,"('{{max}}',)",21.3937,723.0092000000001,0.221539,744.4029,3838.672876143464,6397.662043340875,82.12341591035042,4625.568515826252,0.8504157503079469,4708.54234748691,0.2123799524780168,505.926
InceptionV4,GGGBGGGGGGBBBBBBBBBBBBB,BB,"('{{max}}',)",21.7772,721.303,0.201094,743.0802,3730.05904634581,6256.1448552568045,81.23024186408199,4512.576052531299,0.7500924938658644,4594.556386889247,0.2176488687468371,500.482
InceptionV4,GGGGGGGGGGBBBBBBBBBBBBB,BB,"('{{max}}',)",21.3364,712.0096,0.224301,733.346,3821.178928914223,6289.068024047491,81.53020209888544,4477.876808174845,0.8570942549343892,4560.264104528665,0.2192855451084355,505.504
InceptionV4,BBBBBBBBBBBBBBBBBBBBBBB,BB,"('{{max}}',)",20.5615,774.1605,0.229967,794.722,4106.804834054834,7310.861315792757,84.44206759541846,5659.780051664778,0.944429587273088,5745.166548847469,0.1740593578093238,794.722
InceptionV4,GGGGGGGGGGGGGGGGGGGGGGG,BB,"('{{max}}',)",20.8624,772.8426000000001,2.37084,793.705,3280.5853669750727,3672.062550970614,68.44088415998077,2837.9263692547624,7.777743011439181,2914.1449964261824,0.3431538242696809,793.705
InceptionV4,GGGGGGGGGGGGGGGGGGGGGGB,BB,"('{{max}}',)",20.8006,766.1282,0.712108,786.9288,3521.1509160773862,3790.580178328789,73.24205174495927,2904.070368978714,2.5074397365460355,2979.8198604602194,0.33559075609542205,763.249
