graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
InceptionResnetV2,GGGGGGGGGGGGGGGGBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"('{{max}}',)",21.2458,790.6782,0.202706,811.924,3883.09750870045,6612.3087401158255,82.49951305034801,5228.208372479048,0.7871271635986334,5311.495012692995,0.1882709100941031,616.263
InceptionResnetV2,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"('{{max}}',)",20.5579,848.9001,0.199972,869.458,4238.568542568542,7286.6943111694145,87.13606824126984,6185.675529421147,0.8475950285945166,6273.659192691011,0.1593966087869465,869.458
InceptionResnetV2,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"('{{max}}',)",20.6317,1126.3683,2.4684,1147.0,3323.526189768837,3763.654240702854,68.56999528945371,4239.260828888266,8.203792046825397,4316.034616224545,0.2316941565391685,1147.0
InceptionResnetV2,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGBBG,BB,"('{{max}}',)",21.8065,1099.65886,0.298007,1121.46536,3403.609730139141,3843.7790749361,74.2208155802792,4226.8457156360855,1.0142995248495752,4302.080830741214,0.2324456557985471,1096.07
InceptionResnetV2,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGBBB,BB,"('{{max}}',)",20.699,1104.1243,1.02779,1124.8233,3536.1564913844327,3846.3788083383843,73.19490321516639,4246.880309291452,3.634426280280006,4323.709638786899,0.23128287594274474,1100.14
