graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
Google,GGGGBBBBBBG,BB,"('{{max}}',)",13.1285,100.10126,0.301806,113.22976,3201.753947676408,4640.203007125722,42.03422670206972,464.49016766907374,0.9663085519324258,507.49070292307584,1.970479447682764,58.2048
Google,GGGGBBBBBBB,BB,"('{{max}}',)",12.2767,96.9549,0.228104,109.2316,3507.14478114478,4824.148004701433,43.05616433468011,467.7247873810269,0.7999937531582488,511.5809454688653,1.9547248756176745,56.4486
Google,BBBBBBBBBBB,BB,"('{{max}}',)",11.5808,122.7082,0.22026,134.289,3724.945767195767,6016.6928840790615,43.13785194074074,738.2975537581502,0.8204565546825398,782.2558622535735,1.2783541143675614,134.289
Google,GGGGGGGGGGG,BB,"('{{max}}',)",12.1867,99.6863,2.35038,111.873,3186.7940771349868,3700.740173401249,38.83650337982094,368.913095147729,7.49017706301653,415.23977559056647,2.4082471352311323,111.873
