Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
InceptionV4,B,max,max,14,task,48.5068,7236.913932719727
InceptionV4,B,max,max,15,task,48.6543,7170.879935114274
InceptionV4,B,max,max,16,task,48.1276,7238.547502075114
InceptionV4,B,max,max,17,task,48.7278,7138.51502668683
InceptionV4,B,max,max,18,task,26.7125,7314.969954464194
InceptionV4,B,max,max,19,task,19.3396,6525.106371841667
InceptionV4,B,max,max,20,task,19.3816,6559.31267818684
InceptionV4,B,max,max,21,task,19.1618,6627.2807192807195
InceptionV4,B,max,max,22,task,1.6377,2830.9536541889483
InceptionV4,B,max,max,22,out,1.77052,
InceptionV4,G,max,max,0,in,20.8885,3054.1697073786995
InceptionV4,G,max,max,0,task,4.5797,3613.838383838384
InceptionV4,G,max,max,1,task,11.9495,3636.5319865319866
InceptionV4,G,max,max,2,task,18.7217,3751.97274947275
InceptionV4,G,max,max,3,task,20.3245,3770.4069264069262
InceptionV4,G,max,max,4,task,45.9602,3872.7602639296183
InceptionV4,G,max,max,5,task,25.8571,3740.0334689963174
InceptionV4,G,max,max,6,task,20.5379,3760.6493506493503
InceptionV4,G,max,max,7,task,20.5027,3739.608946608947
InceptionV4,G,max,max,8,task,20.5733,3729.3170995670994
InceptionV4,G,max,max,9,task,20.5349,3724.8167388167385
InceptionV4,G,max,max,10,task,61.6709,3567.9687112207944
InceptionV4,G,max,max,11,task,55.5196,3596.204869691712
InceptionV4,G,max,max,12,task,55.647,3599.549472457367
InceptionV4,G,max,max,13,task,55.6241,3577.7402159244266
InceptionV4,G,max,max,14,task,55.9495,3556.8588693337497
InceptionV4,G,max,max,15,task,55.8301,3564.60939791203
InceptionV4,G,max,max,16,task,55.9063,3562.2531163679487
InceptionV4,G,max,max,17,task,56.5336,3579.1314069072687
InceptionV4,G,max,max,18,task,38.1959,3577.130817030004
InceptionV4,G,max,max,19,task,24.8979,3552.281990569213
InceptionV4,G,max,max,20,task,24.7646,3527.783000568558
InceptionV4,G,max,max,21,task,24.5621,3516.015077243019
InceptionV4,G,max,max,22,task,1.8155,2417.171717171717
InceptionV4,G,max,max,22,out,2.3588,
InceptionV4,L,max,max,0,in,53.5023,2571.3871484013157
InceptionV4,L,max,max,0,task,12.4632,3265.4977808386893
InceptionV4,L,max,max,1,task,43.3764,3148.5589150683695
InceptionV4,L,max,max,2,task,92.1412,3179.562223235519
InceptionV4,L,max,max,3,task,44.2956,3608.1856060606056
InceptionV4,L,max,max,4,task,148.2349,3390.202436173458
InceptionV4,L,max,max,5,task,73.0288,3765.4170258455424
InceptionV4,L,max,max,6,task,73.1808,3284.466543429943
InceptionV4,L,max,max,7,task,73.2881,3280.671048722519
InceptionV4,L,max,max,8,task,73.3279,3272.3286690433747
InceptionV4,L,max,max,9,task,73.2109,3282.118345216875
InceptionV4,L,max,max,10,task,127.9453,3811.3495033510353
InceptionV4,L,max,max,11,task,129.0372,3653.9175707612508
InceptionV4,L,max,max,12,task,134.739,3605.2980716120314
InceptionV4,L,max,max,13,task,137.9417,3601.2908275490054
InceptionV4,L,max,max,14,task,137.7559,3592.173918804455
InceptionV4,L,max,max,15,task,137.6837,3575.8397140644183
InceptionV4,L,max,max,16,task,130.4842,3628.3263075665386
InceptionV4,L,max,max,17,task,128.9971,3637.9433764508544
InceptionV4,L,max,max,18,task,71.9292,3732.2803830652933
InceptionV4,L,max,max,19,task,53.9584,3516.2144612951333
