Graph,Freq,Freq_Host,Layer,Metric,Energy_B,Energy_G,Energy_L,Power_B,Power_G,Power_L,Time_B,Time_G,Time_L,Min_Time,Min_Time_Component,Min_Energy,Min_Energy_Component
InceptionResnetV2,max,max,32,task,135.84,121.24,191.59,6880.60,3624.09,3722.12,19.74,33.45,51.47,19.74,B,121.24,G
InceptionResnetV2,max,max,33,task,133.87,121.83,190.16,6991.49,3624.52,3748.85,19.15,33.61,50.73,19.15,B,121.83,G
InceptionResnetV2,max,max,34,task,135.13,122.48,187.68,7146.29,3623.47,3746.79,18.91,33.80,50.09,18.91,B,122.48,G
InceptionResnetV2,max,max,35,task,132.98,121.92,188.69,6875.62,3623.50,3722.57,19.34,33.65,50.69,19.34,B,121.92,G
InceptionResnetV2,max,max,36,task,134.17,121.78,192.16,6979.27,3638.22,3713.42,19.22,33.47,51.75,19.22,B,121.78,G
InceptionResnetV2,max,max,37,task,225.06,145.54,315.46,7193.00,3568.03,3727.96,31.29,40.79,84.62,31.29,B,145.54,G
InceptionResnetV2,max,max,38,task,54.23,51.71,80.42,6082.62,3585.83,3616.73,8.92,14.42,22.24,8.92,B,51.71,G
InceptionResnetV2,max,max,39,task,54.01,51.33,80.77,6211.04,3584.02,3623.77,8.70,14.32,22.29,8.70,B,51.33,G
InceptionResnetV2,max,max,40,task,54.49,51.28,81.02,6330.61,3577.63,3627.72,8.61,14.33,22.33,8.61,B,51.28,G
InceptionResnetV2,max,max,41,task,55.11,51.21,81.69,6175.36,3586.81,3654.96,8.92,14.28,22.35,8.92,B,51.21,G
InceptionResnetV2,max,max,42,task,55.67,51.69,81.83,6269.76,3600.03,3657.98,8.88,14.36,22.37,8.88,B,51.69,G
InceptionResnetV2,max,max,43,task,53.36,51.58,82.28,6295.06,3596.00,3676.30,8.48,14.34,22.38,8.48,B,51.58,G
InceptionResnetV2,max,max,44,task,52.67,51.43,81.85,6064.93,3603.00,3663.93,8.68,14.27,22.34,8.68,B,51.43,G
InceptionResnetV2,max,max,45,task,53.28,51.35,81.51,6025.13,3586.84,3642.70,8.84,14.32,22.38,8.84,B,51.35,G
InceptionResnetV2,max,max,46,task,55.50,50.93,80.90,6294.28,3578.77,3623.14,8.82,14.23,22.33,8.82,B,50.93,G
InceptionResnetV2,max,max,47,task,48.67,49.24,77.37,5719.73,3519.81,3542.63,8.51,13.99,21.84,8.51,B,48.67,B
InceptionResnetV2,max,max,48,task,89.53,109.73,125.24,7584.78,3856.73,3880.64,11.80,28.45,32.27,11.80,B,89.53,B
InceptionResnetV2,max,max,49,task,4.42,4.32,6.05,2696.87,2365.28,2466.93,1.64,1.83,2.45,1.64,B,4.32,G
InceptionResnetV2,max,max,49,out,7.36,7.35,8.95,3389.59,3085.78,2601.21,2.17,2.38,3.44,2.17,B,7.35,G
InceptionV3,max,max,0,in,69.02,63.90,136.82,3333.81,3049.55,2570.63,20.70,20.95,53.23,20.70,B,63.90,G
InceptionV3,max,max,0,task,30.12,16.18,41.70,5211.06,3608.46,3223.12,5.78,4.48,12.94,4.48,G,16.18,G
InceptionV3,max,max,1,task,79.71,42.86,135.31,5298.44,3585.77,3136.63,15.04,11.95,43.14,11.95,G,42.86,G
InceptionV3,max,max,2,task,162.07,68.27,292.99,6180.86,3754.81,3178.59,26.22,18.18,92.18,18.18,G,68.27,G
InceptionV3,max,max,3,task,13.51,8.22,22.33,4143.43,2623.43,3080.01,3.26,3.13,7.25,3.13,G,8.22,G
InceptionV3,max,max,4,task,151.60,67.24,259.95,6718.06,3732.75,3310.37,22.57,18.01,78.53,18.01,G,67.24,G
InceptionV3,max,max,5,task,129.01,66.03,188.56,6554.30,3744.90,3366.54,19.68,17.63,56.01,17.63,G,66.03,G
InceptionV3,max,max,6,task,145.71,72.57,213.22,6612.68,3753.64,3368.00,22.03,19.33,63.31,19.33,G,72.57,G
InceptionV3,max,max,7,task,156.37,75.02,221.65,6686.28,3727.76,3341.52,23.39,20.12,66.33,20.12,G,75.02,G
InceptionV3,max,max,8,task,172.25,102.02,234.79,7434.53,3488.34,3747.52,23.17,29.25,62.65,23.17,B,102.02,G
InceptionV3,max,max,9,task,160.36,90.72,243.91,6604.80,3674.01,3506.99,24.28,24.69,69.55,24.28,B,90.72,G
InceptionV3,max,max,10,task,199.59,118.59,296.38,6609.95,3609.15,3569.66,30.20,32.86,83.03,30.20,B,118.59,G
InceptionV3,max,max,11,task,200.08,118.31,294.58,6533.90,3600.30,3539.83,30.62,32.86,83.22,30.62,B,118.31,G
InceptionV3,max,max,12,task,244.37,145.97,346.36,6847.66,3565.38,3586.09,35.69,40.94,96.58,35.69,B,145.97,G
InceptionV3,max,max,13,task,112.51,74.08,163.66,6517.77,3430.97,3605.48,17.26,21.59,45.39,17.26,B,74.08,G
InceptionV3,max,max,14,task,127.01,85.86,181.84,5843.00,3511.01,3426.12,21.74,24.45,53.07,21.74,B,85.86,G
InceptionV3,max,max,15,task,159.31,105.33,238.50,6108.83,3458.54,3441.80,26.08,30.45,69.29,26.08,B,105.33,G
InceptionV3,max,max,16,task,6.18,4.90,8.80,2806.25,2403.32,2615.62,2.20,2.04,3.36,2.04,G,4.90,G
InceptionV3,max,max,16,out,5.80,6.77,2.90,3333.81,3049.55,2570.63,1.74,2.22,1.13,1.13,L,2.90,L
InceptionV4,max,max,0,in,71.60,63.80,137.58,3414.21,3054.17,2571.39,20.97,20.89,53.50,20.89,G,63.80,G
InceptionV4,max,max,0,task,29.85,16.55,40.70,5524.84,3613.84,3265.50,5.40,4.58,12.46,4.58,G,16.55,G
InceptionV4,max,max,1,task,81.76,43.45,136.57,5419.85,3636.53,3148.56,15.09,11.95,43.38,11.95,G,43.45,G
InceptionV4,max,max,2,task,165.83,70.24,292.97,6293.48,3751.97,3179.56,26.35,18.72,92.14,18.72,G,70.24,G
InceptionV4,max,max,3,task,130.37,76.63,159.83,7352.66,3770.41,3608.19,17.73,20.32,44.30,17.73,B,76.63,G
InceptionV4,max,max,4,task,357.89,177.99,502.55,6766.09,3872.76,3390.20,52.89,45.96,148.23,45.96,G,177.99,G
InceptionV4,max,max,5,task,200.11,96.71,274.98,7982.36,3740.03,3765.42,25.07,25.86,73.03,25.07,B,96.71,G
InceptionV4,max,max,6,task,176.06,77.24,240.36,6703.27,3760.65,3284.47,26.27,20.54,73.18,20.54,G,77.24,G
InceptionV4,max,max,7,task,176.12,76.67,240.43,6735.74,3739.61,3280.67,26.15,20.50,73.29,20.50,G,76.67,G
InceptionV4,max,max,8,task,173.05,76.72,239.95,6776.80,3729.32,3272.33,25.54,20.57,73.33,20.57,G,76.72,G
