graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
InceptionV3,GGGGGGGGBBBBBBBBG,BB,"('{{max}}',)",21.8969,334.64281,0.340971,356.53971,3648.500417610712,5895.601841937674,79.89084879437999,1972.920767027199,1.2440328358931425,2054.055648657472,0.4868417273181467,221.787
InceptionV3,GGGGGGGGBBBBBBBBB,BB,"('{{max}}',)",21.46,333.982,0.220778,355.442,3775.9278605381546,5901.015525630458,81.0314118871488,1970.832967281112,0.8336418011938926,2052.698020969455,0.487163718084415,223.401
InceptionV3,BBBBBBBBBBBBBBBBB,BB,"('{{max}}',)",20.566,368.793,0.220256,389.359,3944.253427128426,6840.952434071517,81.11751598232323,2522.895371018537,0.8687454828455987,2604.8816324837057,0.3838946029369168,389.359
InceptionV3,GGGGGGGGGGGGGGGGG,BB,"('{{max}}',)",20.7652,346.6418,2.15718,367.407,3450.564393939394,3842.0819980424876,71.65165975303032,1331.8262195490443,7.443488499318181,1410.9213678013928,0.7087567194182322,367.407
