graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
Google,GGGGBBBBBBG,BB,"('{{max}}',)",13.4566,99.76104,0.29666,113.21764,3485.870359438541,4918.620778323311,46.90796307882067,490.68672421114303,1.0341183008310375,538.6288055907947,1.8565661353799128,58.0009
Google,GGGGBBBBBBB,BB,"('{{max}}',)",12.5022,97.8596,0.241268,110.3618,3695.172252831344,5039.214655620203,46.19778253934804,493.1355305131309,0.8915268190961129,540.224839871575,1.8510811169618284,56.9895
Google,BBBBBBBBBBB,BB,"('{{max}}',)",11.5698,121.8412,0.273533,133.411,3905.426647426648,6150.415743387562,45.18500522539682,749.3740346732326,1.0682630671505533,795.6273029657799,1.256869889045286,133.411
Google,GGGGGGGGGGG,BB,"('{{max}}',)",12.2953,99.59270000000001,2.18723,111.888,3267.623890419345,3778.059683476776,40.176416019872974,376.2671646385976,7.147045001841904,423.59062566031247,2.3607699024055457,111.888
